id,persona,initial_intent,follow_up_topics,in_scope,category
thread_001,"Marcus Lopez runs a small LLC doing freelance graphic design and wants to open a business checking account to keep his personal and business finances separate. He's friendly and practical, juggling paperwork and client invoices, and is mostly looking for straightforward answers without a lot of banking jargon. He'll likely ask what specific documents are required (EIN vs SSN, articles of organization, ID), what fees or minimums apply (monthly maintenance, transaction or ACH fees), and whether the account can integrate with QuickBooks for easy invoicing — but he’s understanding if the agent’s system can’t handle business-account specifics.",wants to open a business checking account,what documents are needed|what fees apply to business accounts|whether they can integrate with QuickBooks|if they offer merchant services|what the account minimum is,no,business_banking
thread_002,"Marcus is a thirty-something project manager who has about 45,000 rewards points on his credit card and wants to redeem them to book a work trip in six weeks. He's friendly but a bit impatient since the travel date is approaching; he's moderately tech-savvy but prefers quick, clear steps instead of digging through menus. He wants to know how to check his current rewards balance, what redemption options are available (can he transfer points to airline partners or use them for flights vs gift cards or statement credits?), and whether points expire or if there's a minimum required to redeem. He expects the agent to be helpful, give step-by-step instructions, and offer any tips to maximize the points' value.",wants to redeem their rewards points,how to check rewards balance|what redemption options are available|if points expire|minimum redemption amounts|how to maximize point value,yes,rewards_redemption
thread_003,"Alex Martinez is a 34-year-old part-time barista and gig driver who wants to start buying small amounts of crypto for long-term holding. He plans to use his Visa rewards card (typically $200–$400 per month on Coinbase) and is worried about surprises — he specifically wants to ask whether crypto purchases earn rewards, what fees apply to crypto transactions (including possible cash-advance or foreign transaction fees), and whether there are spending limits or declines that could affect his weekly buys. He’s not a crypto expert, likes plain English, and will be totally understanding if the agent says this is out of scope or needs to refer him elsewhere.",wants to use credit card to buy cryptocurrency,if they can stake crypto using the card|what fees apply to crypto transactions|if crypto purchases earn rewards|whether there are spending limits|how to report crypto for taxes,no,cryptocurrency
thread_004,"Daniel is a 33-year-old elementary school teacher who, with his partner, is house-hunting for a 3-bedroom bungalow and hopes to move within three months. He has about $30,000 saved for a down payment and a credit score around 710, so he's mainly curious about what mortgage rates he might qualify for, how much down payment will be required, and roughly how long approval takes. He's practical and conversational—likes clear, simple numbers and realistic timelines. He understands mortgage questions might be outside a credit card agent's scope and is fine if they can't help, but would appreciate being pointed to next steps or resources.",interested in applying for a home mortgage,what mortgage rates are available|what down payment is required|what the pre-approval process is|what closing costs to expect|how long approval takes,no,mortgage
thread_005,"Marcus Chen is a freelance graphic designer who just got back from a week-long trip and realized he missed his credit card due date because a client payment was delayed and he hadn’t set up autopay. He’s anxious and wants to know specifically what late fees he’ll be charged, whether the issuer can waive those fees given his usually on-time history, and if he can still make a payment today to limit any consequences. He’s polite but worried, expects clear, practical steps to pay now and prevent this from happening again.",missed their payment due date,what late fees they'll be charged|if they can get fees waived|how it affects their credit score|how to avoid late payments in future|whether they can still make a payment,yes,late_payment
thread_006,"Jasmine is a mid-30s project manager planning a family trip and wants to redeem her credit card rewards before booking; she saw a points total in the app but isn't sure what it all means. She's friendly and pragmatic, expects helpful, step-by-step guidance, and will want to know how to check her current rewards balance, which redemption options are available (travel booking, statement credit, transfer partners or gift cards), and whether points expire or if there's a minimum redemption amount. She's comfortable on chat or phone and prefers clear, straightforward answers.",wants to redeem their rewards points,how to check rewards balance|what redemption options are available|if points expire|minimum redemption amounts|how to maximize point value,yes,rewards_redemption
thread_007,"Mark Rivera is a 34-year-old project manager who updated the credit card mobile app on his Pixel 6 and suddenly can’t log in — it keeps saying “session expired” and the in-app password reset link never arrives. He’s moderately tech-savvy, noticed the biometric login option is greyed out in settings, and would like to know whether the app supports mobile check deposits since he usually deposits payroll checks on the go. Specifically, he wants to ask how to reset his app password, how to enable fingerprint/biometric login, and whether check deposits are possible through the app. He knows this might be outside the agent’s scope and will be understanding if they need to escalate or point him to the right team.",having trouble with the mobile banking app,how to reset their app password|what features are available in the app|if they can deposit checks through the app|how to enable biometric login|whether the app works internationally,no,mobile_app
thread_008,"Marcus Lewis lost his wallet last night—he thinks it was stolen on the subway after grabbing coffee downtown, and he just noticed a couple of pending charges he doesn't recognize this morning. He's anxious but practical and wants clear, step-by-step help from the agent. He needs to know how to report the card as lost/stolen right away, whether he's liable for any fraudulent charges, how quickly a replacement can be issued, and if he needs to update autopay accounts like his rent and streaming services.",lost their credit card or had it stolen,how to report the card as lost/stolen|if they're liable for fraudulent charges|how quickly they can get a replacement|whether they need to update autopay accounts|how to track the replacement card,yes,lost_stolen_card
thread_009,"Marco Rinaldi is a small-business owner trying to send €3,000 (about $3,500) to a supplier in Italy through his credit card's wire transfer option because the supplier needs payment by the end of the week. He's a bit pressed for time and wants to know specific things: what fees will apply to an international wire (both card fees and any recipient or intermediary bank charges), how long the transfer will take to reach an Italian bank (and whether weekends/holidays affect timing), and exactly what recipient details he needs to provide (IBAN, SWIFT/BIC, beneficiary name/address), since he only has a partial IBAN right now. He understands this may be outside the agent's scope and will be patient if they can't complete the transfer, but would appreciate being pointed to the right department or told what documents to prepare next.",needs to send a wire transfer internationally,what fees apply to international wires|how long the transfer takes|what information they need from recipient|if there are daily limits|whether they can cancel after sending,no,wire_transfer
thread_010,"Mark Rivera is a 34-year-old software engineer renting in Austin who’s hoping to buy a single-family home in the $350k–$420k range within the next 3–6 months. He has steady income, about a 710 credit score, and roughly $30k saved toward a down payment. He wants to ask what mortgage rates are currently available, what down payment would be required (and whether he can avoid PMI), and what the pre-approval process looks like so he can make offers quickly. He knows a credit card rep might not handle mortgages and will be understanding if they can only refer him to the right team or give a quick overview.",interested in applying for a home mortgage,what mortgage rates are available|what down payment is required|what the pre-approval process is|what closing costs to expect|how long approval takes,no,mortgage
thread_011,"""Michael is a 34-year-old project manager who has about $6,500 on a high-interest card and wants to move it onto his new card to save on interest. He's practical and a little rushed — he wants to know what the balance transfer fee is, whether there's a promotional APR and how long it lasts, and exactly how to initiate the transfer (online or by phone). He expects clear, step-by-step guidance, a timeline for when the transfer posts, and confirmation of any limits on how much can be moved. He's comfortable with online tools but appreciates the agent walking him through any forms or steps.""",wants to transfer balance from another card,what the balance transfer fee is|if there's a promotional APR|how long the transfer takes|what the credit limit on transfers is|how to initiate the transfer,yes,balance_transfer
thread_012,"Marcus is a 34-year-old freelance graphic designer with a $6,000 credit card limit who needs a bump to around $12,000 because he has big client expenses and upcoming travel, and he’s a bit anxious about maxing out his card and improving his credit utilization. He’ll want to know how to officially request a credit limit increase (online form vs. phone or app), whether the issuer will do a hard credit pull that could affect his score, and how long the approval process typically takes. Marcus is friendly and straightforward, prefers clear next steps and any documentation needed, and expects the agent to be helpful and practical.",wants to increase their credit limit,how to request a credit limit increase|what factors affect approval|if it requires a hard credit pull|how long it takes to process|whether increases are automatic over time,yes,credit_limit
thread_013,"""Marcus is a freelance web designer who just saw his credit card statement and wants to pay the full balance before an upcoming work trip — he's a little stressed because his income is irregular and he can't risk a late fee. He's friendly and pragmatic, prefers quick, clear steps and confirmation when a payment goes through. He'll want to ask which payment methods are accepted (ACH/bank transfer, debit card, or third-party apps), how long different payment types take to post (is same-day posting possible?), and whether he can set up autopay so billing doesn't slip while he's traveling. He expects the agent to be able to help and give straightforward, actionable instructions.""",wants to pay their credit card bill,what payment methods are accepted|how long payments take to process|if they can set up autopay|what happens if they miss the due date|how to change payment due date,yes,payment_methods
thread_014,"Mark is a 29-year-old graphic designer who realized his credit card was missing after leaving a neighborhood bar last night and now worries it might have been stolen. He's a bit anxious because his phone bill is on autopay and there's a small pending charge he doesn't recognize, so he'd like clear, fast help. He wants to know the quickest way to report the card lost or stolen, whether he'll be liable for any fraudulent charges, and how quickly a replacement can be sent and tracked.",lost their credit card or had it stolen,how to report the card as lost/stolen|if they're liable for fraudulent charges|how quickly they can get a replacement|whether they need to update autopay accounts|how to track the replacement card,yes,lost_stolen_card
thread_015,"""Mark Rivera owes about $850 on his credit card and the payment is due tomorrow, so he's a bit anxious and short on time. He usually pays via ACH from his checking account but isn't sure what payment methods are accepted, how long different payments (bank transfer vs. debit/credit card) take to process, and whether he can set up autopay to avoid this next month. He's comfortable with phone or chat, prefers clear step-by-step instructions, and will ask for a confirmation/receipt once the payment is scheduled.""",wants to pay their credit card bill,what payment methods are accepted|how long payments take to process|if they can set up autopay|what happens if they miss the due date|how to change payment due date,yes,payment_methods
thread_016,"Mark Rivera is a freelance photographer who just opened his credit card statement and wants to pay the full balance today before flying out on a shoot tomorrow. He's a bit stressed because his checking account is at a different bank and he usually pays with his debit card, so he wants to confirm which payment methods are accepted (ACH, debit/credit, third-party), how long different payment methods take to post since he's leaving tomorrow, and whether he can set up autopay so he doesn't miss this again. He's casual and practical, moderately tech-savvy, and expects clear, helpful step-by-step answers.",wants to pay their credit card bill,what payment methods are accepted|how long payments take to process|if they can set up autopay|what happens if they miss the due date|how to change payment due date,yes,payment_methods
thread_017,"Jordan Meyer is a 34-year-old graphic designer who just noticed an unfamiliar $118.67 charge from ""QuickBuy Electronics"" on his January 22 statement — he hasn’t shopped there and only uses this card for bills and occasional online orders. He’s worried it’s fraud and wants to fix it quickly because his next payment is due. He needs to know how to formally dispute the charge, whether he’ll get his money back immediately or how long the dispute process takes, and whether he should freeze or replace the card right away. He’s a bit anxious but expects clear, step-by-step help and can provide the transaction date, merchant name, and the card’s last four digits if needed.",found an unauthorized charge on their statement,how to dispute the charge|if they'll get money back immediately|how long the dispute process takes|whether they need to freeze their card|what documentation they need,yes,disputed_charge
thread_018,"Tom Reyes is 34, just accepted a new job in another city, and wants to buy a reliable used SUV within the next month; he has about $3,000 saved for a down payment, thinks his credit score is around 690, and wants roughly a $350–$450 monthly payment. He's calling to try to get pre-approved and will specifically ask about the current APR, whether they finance used cars, and what the pre-approval process involves. He's friendly and straightforward, prefers quick, clear answers, and is perfectly understanding if car loan details are outside the credit card agent's scope and they can't help directly.",wants to get pre-approved for a car loan,what the current APR is|what the maximum loan term is|if they finance used cars|what the pre-approval process involves|whether there are early payoff penalties,no,auto_loan
thread_019,"Janelle Ortiz is a part-time graphic designer who can’t find her December and January credit card statements in the mobile app after she switched to e-statements last month and is worried about an upcoming payment due date and potential late fees. She prefers using the app but used to get paper mail, so she wants to know how to access statements online, whether she can request paper copies for those months, and how far back she can retrieve or download PDF copies for her records. She’s a little anxious but expects clear, step-by-step help and will ask the agent to confirm the payment due date and where to download the PDFs.",can't find or access their statement,how to access statements online|how to get paper statements|what to do if statement is missing|how far back statements are available|how to download statements for records,yes,statement_access
thread_020,"""Daniel Park is a 29-year-old gig-economy delivery driver who just updated his Pixel 6 to Android 14 and now the bank app won't let him sign in — it keeps showing an 'authentication error' even though his web login works. He's annoyed because he needs to deposit a $650 client check before a week-long trip to Canada next Tuesday and wants to know if mobile check deposit is possible, how to safely reset his app password, and how to re-enable fingerprint login that worked before the update. He’s fairly comfortable with basic tech and has already tried reinstalling the app and restarting the phone, so he'll naturally ask about any error messages or account locks the agent sees. He's polite and realistic about limits, so he’ll understand if the agent can't fix platform-specific issues and will appreciate clear next steps or where to get help.""",having trouble with the mobile banking app,how to reset their app password|what features are available in the app|if they can deposit checks through the app|how to enable biometric login|whether the app works internationally,no,mobile_app
